Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,color_encoded,spectral_encoded,cluster,PC1,PC2
3042.0,0.0005,0.1542,16.6,0.0,Red,M,3,6,2,1.5563292816063812,-0.4114808813767869
2600.0,0.0003,0.102,18.7,0.0,Red,M,3,6,2,1.682423474840981,-0.40676154411004073
2800.0,0.0002,0.8300000000000001,16.65,0.0,Red,M,3,6,2,1.5690532906617423,-0.42451121400260244
1939.0,0.000138,0.103,20.06,0.0,Red,M,3,6,2,1.7805907874145728,-0.4240217153835675
2840.0,0.153,0.11,16.98,0.0,Red,M,3,6,2,1.584553630366184,-0.4172004051732769
2637.0,0.00073,0.127,17.22,0.0,Red,M,3,6,2,1.6056748512301349,-0.42493555597789473
2600.0,0.0004,0.096,17.4,0.0,Red,M,3,6,2,1.6164630265837603,-0.42445907697454627
2650.0,0.00069,0.11,17.45,0.0,Red,M,3,6,2,1.6167843617296063,-0.4210844203874282
2700.0,0.00018,0.13,16.05,0.0,Red,M,3,6,2,1.5435252565772717,-0.437460812380741
3600.0,0.153,0.51,10.69,1.0,Red,M,3,6,2,1.231570531514011,-0.46207969108141267
3129.0,0.0122,0.3761,11.79,1.0,Red,M,3,6,2,1.3082613242179493,-0.47247359337025785
3134.0,0.0004,0.196,13.21,1.0,Red,M,3,6,2,1.3802248081442277,-0.4527027520051729
3628.0,0.0055,0.393,10.48,1.0,Red,M,3,6,2,1.2197645141105693,-0.4633176433612188
2650.0,0.0006,0.14,11.782,1.0,Red,M,3,6,2,1.329156217485651,-0.4982965202745971
3340.0,0.0038,0.24,13.07,1.0,Red,M,3,6,2,1.3640018089820143,-0.4434984939679603
2799.0,0.0018,0.16,14.79,1.0,Red,M,3,6,2,1.4752012781296913,-0.4492874669353349
3692.0,0.00367,0.47,10.8,1.0,Red,M,3,6,2,1.233123116005318,-0.45556545906030005
3192.0,0.153,0.1967,13.53,1.0,Red,M,3,6,2,1.3939027839276146,-0.44520644729833575
3441.0,0.039,0.351,11.18,1.0,Red,M,3,6,2,1.2635634112896128,-0.46386941578859314
25000.0,0.056,0.0084,10.58,2.0,Blue-White,B,2,2,1,0.05734271848188914,1.9995086165232103
7740.0,0.00049,0.01234,14.02,2.0,White,A,4,1,0,1.6663047508380158,0.4887193616119616
7220.0,0.00017,0.011,14.23,2.0,White,F,4,3,0,1.6503357169975679,0.02228258957721945
8500.0,0.0005,0.01,14.5,2.0, ,A,0,1,1,0.36066015455158656,2.2242734014965135
16500.0,0.013,0.014,11.89,2.0,Blue-White,B,2,2,1,0.498771872145997,1.557245947210164
12990.0,8.5e-05,0.00984,12.23,2.0,Yellow-White,F,5,3,0,1.6184391616894256,-0.11459650452880482
8570.0,0.00081,0.0097,14.2,2.0,Blue-White,A,2,1,1,0.9905881161940949,1.3800387180847187
7700.0,0.00011,0.0128,14.47,2.0,Yellow-White,F,5,3,0,1.9654574200947346,-0.37043820732098764
11790.0,0.00015,0.011,12.59,2.0,Yellow-White,F,5,3,0,1.689641146322626,-0.1746500371294645
7230.0,8e-05,0.013,14.08,2.0,Red,F,3,3,0,1.318162669274889,0.4427487625569817
39000.0,204000.0,10.6,-4.7,3.0,Blue,O,1,7,3,-2.3890999362265823,1.593199137122626
30000.0,28840.0,6.3,-4.2,3.0, ,B,0,2,1,-1.6504942797589763,2.8695859207707928
15276.0,1136.0,7.2,-1.97,3.0,Blue-White,B,2,2,1,-0.15904283346755482,1.2942649938296822
9700.0,74.0,2.89,0.16,3.0,White,B,4,2,0,0.849478001108537,0.18279384695016337
5800.0,0.81,0.9,5.05,3.0,Yellow-White,F,5,3,0,1.5706375998242776,-0.602366273697983
8052.0,8.7,1.8,2.42,3.0,White,A,4,1,0,1.0626150524284401,0.3460125011899658
6757.0,1.43,1.12,2.41,3.0,Yellow-White,F,5,3,0,1.3943013335008851,-0.5867154606091237
6380.0,1.35,0.98,10.149999999999999,3.0, ,F,0,3,1,0.18318180062568834,1.6082522336636136
5936.0,1.357,1.106,4.46,3.0,Yellow-White,F,5,3,0,1.534549866201925,-0.6032264092303053
5587.0,0.819,0.99,5.03,3.0,Yellow-White,F,5,3,0,1.5789537585642195,-0.6142496252349332
3826.0,200000.0,19.0,-6.93,4.0,Red,M,3,6,2,-0.27195122709906555,-0.9668665249130634
3365.0,340000.0,23.0,-6.2,4.0,Red,M,3,6,2,-0.6277428009453165,-1.1677343661653108
3270.0,150000.0,88.0,-6.02,4.0,Red,M,3,6,2,-0.10459294467378594,-0.9819719086756438
3200.0,195000.0,17.0,-7.22,4.0,Red,M,3,6,2,-0.24295332362749564,-0.9963809479730764
3008.0,0.153,25.0,-6.0,4.0,Red,M,3,6,2,0.39309819460339374,-0.7435805453623188
3600.0,320000.0,29.0,-6.6,4.0,Red,M,3,6,2,-0.6041317198084968,-1.1398613028470441
3575.0,123000.0,45.0,-6.78,4.0,Red,M,3,6,2,-0.0464067597870043,-0.9017271845353518
3574.0,200000.0,89.0,-5.24,4.0,Red,M,3,6,2,-0.22567519383324794,-1.020883673220826
3625.0,184000.0,84.0,-6.74,4.0,Red,M,3,6,2,-0.2535353152583609,-1.013195078339126
33750.0,220000.0,26.0,-6.1,4.0,Blue,B,1,2,1,-2.162653647584801,2.3580609362545752
3490.0,270000.0,1520.0,-9.4,5.0,Red,M,3,6,5,-1.672495859369696,-2.4690791551359546
3750.0,283000.0,1260.0,10.149999999999999,5.0,Red,M,3,6,5,-0.5421305731302261,-1.970251477308452
3834.0,272000.0,1183.0,-9.2,5.0,Red,M,3,6,5,-1.439806221920576,-2.1451586428212024
3749.0,550000.0,1648.0,-8.05,5.0,Red,M,3,6,5,-2.528491873361229,-2.917055797946226
3650.0,310000.0,1324.0,-7.79,5.0,Red,M,3,6,5,-1.5734163901635363,-2.31306725558076
3450.0,263000.0,1349.0,-11.75,5.0,Red,M,3,6,5,-1.6458658950091387,-2.3392802800630648
3660.0,363000.0,1673.0,-11.92,5.0,Red,M,3,6,5,-2.190992806901122,-2.7538019706023555
3450.0,174000.0,1284.0,-11.28,5.0,Red,M,3,6,5,-1.314216526617639,-2.1581692986570533
3752.0,209000.0,955.0,10.149999999999999,5.0,Red, ,3,0,0,0.043784730225812474,-0.27416689115403126
3535.0,195000.0,1546.0,-11.36,5.0,Red,M,3,6,5,-1.572935891562543,-2.4192542240352597
3341.0,0.0056,0.057,16.23,0.0,Red,M,3,6,2,1.5244351284390283,-0.4002468208862069
3432.0,0.00067,0.19,16.94,0.0,Red,M,3,6,2,1.556351646902073,-0.38577297113563974
2983.0,0.00024,0.094,16.09,0.0,Red,M,3,6,2,1.5330969709102806,-0.42156498809873927
2835.0,0.00034,0.0918,16.96,0.0,Red,M,3,6,2,1.5837729547369337,-0.4177267234353861
2935.0,0.00014,0.116,18.89,0.0,Red,M,3,6,2,1.67727649381353,-0.38605363869825887
3295.0,0.00098,0.8300000000000001,17.13,0.0,Red,M,3,6,2,1.5715735600568081,-0.3911808628976324
2945.0,0.00032,0.093,18.34,0.0,Red,M,3,6,2,1.6489438086945964,-0.39298123675140956
2817.0,0.00098,0.0911,16.45,0.0,Red,M,3,6,2,1.5586890011500436,-0.42564542281110085
2774.0,0.00036,0.118,17.39,0.0,Red,M,3,6,2,1.6082640345406434,-0.4151967242322661
2871.0,0.00072,0.12,19.43,0.0,Red,M,3,6,2,1.7074975924700684,-0.3821679801942755
3345.0,0.021,0.273,12.3,1.0,Red,M,3,6,2,1.3246858922145852,-0.4537433583286298
3607.0,0.022,0.38,10.12,1.0,Red,M,3,6,2,1.2024330646880748,-0.4693449619251741
3304.0,0.0085,0.18,10.149999999999999,1.0,Red,M,3,6,2,1.2174661768816544,-0.4851563962686873
3150.0,0.0088,0.35,11.94,1.0,Red,M,3,6,2,1.31496514616114,-0.4692705936682734
3550.0,0.004,0.291,10.89,1.0,Red,M,3,6,2,1.2440833377972793,-0.46186409394952793
3180.0,0.001,0.35,11.76,1.0,Red,M,3,6,2,1.3045081921496204,-0.47009789240340144
2890.0,0.0034,0.24,13.46,1.0,Red,M,3,6,2,1.4036421150927816,-0.46254566930482877
3342.0,0.0015,0.307,11.87,1.0,Red,M,3,6,2,1.3029745928582768,-0.45979210623023253
2621.0,0.0006,0.098,12.81,1.0,Red,M,3,6,2,1.38262877456527,-0.4858292670270268
3158.0,0.00135,0.161,13.98,1.0,Red,M,3,6,2,1.4182628390246457,-0.44088635809991594
7100.0,0.00029,0.012,14.09,2.0,Yellow-White,F,5,3,0,1.9726438098751837,-0.4080896172494628
10574.0,0.00014,0.8300000000000001,12.02,2.0,White,F,4,3,0,1.3896484778336289,0.17299466152222662
8930.0,0.00056,0.0095,13.78,2.0,White,A,4,1,0,1.601634167560317,0.5498672450166456
17200.0,0.00098,0.015,12.45,2.0,Blue-White,B,2,2,1,0.4963076537311741,1.6027612748637947
14100.0,0.00067,0.0089,12.17,2.0,Blue-White,B,2,2,1,0.618854698465497,1.4311538444422827
9675.0,0.00045,0.0109,13.98,2.0,Blue-White,A,2,1,1,0.9306790656733892,1.436854328869499
12010.0,0.00078,0.0092,12.13,2.0,Blue-White,B,2,2,1,0.7090210563954933,1.317479182967363
10980.0,0.00074,0.0087,11.19,2.0,Blue-White,B,2,2,1,0.7067602391194053,1.2489261234970777
13720.0,0.00018,0.00892,12.97,2.0,White,F,4,3,0,1.2996673390903937,0.35696494066643686
19860.0,0.153,0.0131,11.34,2.0,Blue,B,1,2,1,-0.001475042358979694,2.1535997645114673
5300.0,0.59,0.91,5.49,3.0,Yellow-White,F,5,3,0,1.6150140809488038,-0.6234477874043928
4526.0,0.153,0.865,6.506,3.0, ,K,0,5,1,0.03058500953931119,1.0172293287824896
4077.0,0.085,0.795,6.228,3.0,Yellow-White,K,5,5,0,1.6569319979252526,-1.1206435582192888
4980.0,0.357,1.13,4.78,3.0,Yellow-White,K,5,5,0,1.5433803692709362,-1.0917871433098978
9030.0,45.0,2.63,1.45,3.0,Blue-White,A,2,1,1,0.3213080292249934,1.2288813677994093
11250.0,672.0,6.98,-2.3,3.0,Blue-White,A,2,1,1,0.028112481793720643,1.2932261674315715
5112.0,0.63,0.876,4.68,3.0,Red,K,3,5,2,0.8844277183106996,-0.2418355285387515
7720.0,7.92,1.34,2.44,3.0,Yellow-White,F,5,3,0,1.3531647057764882,-0.5343883450262807
12098.0,689.0,7.01,0.02,3.0,Blue-White,A,2,1,1,0.1083548875527148,1.3706712792580238
36108.0,198000.0,10.2,-4.4,3.0,Blue,O,1,7,3,-2.228429902751478,1.448915482452328
33300.0,240000.0,0.8300000000000001,-6.5,4.0, ,B,0,2,1,-2.527637575909611,2.7469852788044733
40000.0,813000.0,14.0,-6.23,4.0,Blue,O,1,7,3,-4.298016632148354,0.830700891491581
23000.0,127000.0,36.0,-5.76,4.0,Blue,O,1,7,3,-1.5297834711740834,0.7899262771718412
17120.0,235000.0,83.0,-6.89,4.0,Blue,O,1,7,3,-1.6782085289901962,0.2731177085485115
11096.0,112000.0,12.0,-5.91,4.0,Blue,O,1,7,3,-0.9509679861068733,0.18479043460760902
14245.0,231000.0,42.0,-6.12,4.0,Blue,O,1,7,3,-1.470955818682916,0.17031770572996485
24630.0,363000.0,63.0,-5.83,4.0,Blue,O,1,7,3,-2.316366806178983,0.5455600822652664
12893.0,184000.0,36.0,-6.34,4.0,Blue,O,1,7,3,-1.2804052736229299,0.16075103522159184
24345.0,142000.0,57.0,-6.24,4.0,Blue,O,1,7,3,-1.6726085369911734,0.8176512453052673
33421.0,352000.0,67.0,-5.79,4.0,Blue,O,1,7,3,-2.6727898552887193,1.0326491237690298
3459.0,100000.0,1289.0,-10.7,5.0,Red,M,3,6,5,-1.0719356058250205,-2.0579886579616304
3605.0,126000.0,1124.0,-10.81,5.0,Red,M,3,6,5,-1.0408934183325969,-1.9360065872629733
3615.0,200000.0,1635.0,-11.33,5.0,Red,M,3,6,5,-1.6539229818800956,-2.501620167555653
3399.0,117000.0,1486.0,-10.92,5.0,Red,M,3,6,5,-1.2726594730044256,-2.264759515687071
5800.0,132000.0,0.8300000000000001,-10.86,5.0,Red,M,3,6,2,-0.3460360170816782,-0.808565737355343
3553.0,145000.0,1324.0,-11.03,5.0,Red,M,3,6,5,-1.249999651966801,-2.147664475590317
4015.0,282000.0,1534.0,-11.39,5.0,Red,K,3,5,5,-1.8171354004007274,-2.2754833326255093
3625.0,74000.0,876.0,-10.25,5.0,Red,M,3,6,5,-0.6817212858237844,-1.6350281515560856
6850.0,229000.0,1467.0,-10.07,5.0,Red,G,3,4,5,-1.6466879504945942,-1.7538149637890579
3780.0,200000.0,1324.0,-10.7,5.0,Red,M,3,6,5,-1.404449177015834,-2.2024748665207143
3323.0,0.00043,0.0912,17.16,0.0,Red,M,3,6,2,1.5723946513558527,-0.38858767789691523
3531.0,0.00093,0.0976,19.94,0.0,Red,M,3,6,2,1.7042776659263972,-0.3394775226383818
3218.0,0.00054,0.11,20.02,0.0,Red,M,3,6,2,1.7221354585408815,-0.3553417259313117
3146.0,0.00015,0.0932,16.92,0.0,Red,M,3,6,2,1.5680231012120527,-0.4014385677867363
3511.0,0.00064,0.109,17.12,0.0,Red,M,3,6,2,1.5620588473913373,-0.37897224555110215
3225.0,0.00076,0.121,19.63,0.0,Red,M,3,6,2,1.7020292806054196,-0.36028367419690416
2935.0,0.00087,0.0932,16.88,0.0,Red,M,3,6,2,1.5753012655841785,-0.4134045017468253
2861.0,0.00019,0.0899,16.71,0.0,Red,M,3,6,2,1.5699418538216363,-0.41972206431080983
2856.0,0.000896,0.0782,19.56,0.0,Red,M,3,6,2,1.7147859783188086,-0.3811717661499989
2731.0,0.000437,0.0856,18.09,0.0,Red,M,3,6,2,1.645703812715778,-0.40796256567664846
3095.0,0.00019,0.492,10.87,1.0,Red,M,3,6,2,1.2629946618907877,-0.4869471744671835
3607.0,0.00023,0.38,10.34,1.0,Red,M,3,6,2,1.213596399734898,-0.466349046999464
3100.0,0.008,0.31,11.17,1.0,Red,M,3,6,2,1.2781282625493022,-0.4824264242974451
2989.0,0.0087,0.34,13.12,1.0,Red,M,3,6,2,1.3819503018627453,-0.4619074661307121
3542.0,0.0009,0.62,14.23,1.0,Red,M,3,6,2,1.4136772106726532,-0.41711205200562895
3243.0,0.0023,0.73,14.75,1.0,Red,M,3,6,2,1.4531734144997137,-0.42631506241376915
3091.0,0.0081,0.24,11.43,1.0,Red,M,3,6,2,1.291768831250935,-0.4793096020134786
3598.0,0.0011,0.56,14.26,1.0,Red,M,3,6,2,1.4127725107788311,-0.41361796161685455
3324.0,0.0034,0.34,12.23,1.0,Red,M,3,6,2,1.3220119414311742,-0.4558939555470781
3541.0,0.0013,0.256,14.33,1.0,Red,M,3,6,2,1.4190586290511082,-0.41547478439472396
13420.0,0.00059,0.00981,13.67,2.0,Blue-White,B,2,2,1,0.7249641235596802,1.4147717761839695
5800.0,0.0015,0.0112,11.52,2.0,Blue,B,1,2,1,0.6278897510943898,1.3949986311188272
18290.0,0.0013,0.00934,12.78,2.0,Blue,B,1,2,1,0.14085428258431784,2.088230221595268
14520.0,0.00082,0.00972,11.92,2.0,Blue-White,B,2,2,1,0.5876410915952361,1.4504828797659377
11900.0,0.00067,0.00898,11.38,2.0,Blue-White,B,2,2,1,0.6758170439778363,1.301311938761902
8924.0,0.00028,0.00879,14.87,2.0,Blue-White,A,2,1,1,1.0089699932699285,1.4083250576450863
12912.0,0.00071,0.00945,12.83,2.0,Blue-White,B,2,2,1,0.7047504101588968,1.3758357125895495
14732.0,0.00011,0.00892,12.89,2.0,White,F,4,3,0,1.250965567981495,0.41065411080280884
7723.0,0.00014,0.00878,14.81,2.0,White,A,4,1,0,1.707143538913246,0.4985603487187339
12984.0,0.00088,0.00996,11.23,2.0,Blue-White,B,2,2,1,0.6203864746532868,1.3579442749402215
29560.0,188000.0,6.02,-4.01,3.0,Blue-White,B,2,2,1,-1.439430699461622,1.797498558372827
8945.0,38.0,2.487,0.12,3.0,Blue-White,A,2,1,1,0.25769446061180024,1.2063075129935068
14060.0,1092.0,5.745,-2.04,3.0,Blue-White,A,2,1,1,-0.0829904136921714,1.449441039328083
16390.0,1278.0,5.68,-3.32,3.0,Blue-White,B,2,2,1,-0.2760041678451725,1.3373725321145453
25070.0,14500.0,5.92,-3.98,3.0,Blue-White,B,2,2,1,-0.7313165233776214,1.7807969573126423
28700.0,16790.0,6.4,-4.09,3.0,Blue-White,B,2,2,1,-0.9040864227526892,1.9723719229726397
26140.0,14520.0,5.49,-3.8,3.0,Blue-White,B,2,2,1,-0.76913170961709,1.8415295700572047
20120.0,4720.0,6.78,-3.4,3.0,Blue-White,B,2,2,1,-0.45548723606894487,1.5327079558977363
13023.0,998.0,6.21,-1.38,3.0,Blue-White,A,2,1,1,-0.0038159945090601,1.4019981523188474
37800.0,202900.0,6.86,-4.56,3.0,Blue,O,1,7,3,-2.323133567665177,1.5349694619169658
25390.0,223000.0,57.0,-5.92,4.0,Blue,O,1,7,3,-1.9398444993069774,0.7731389681888681
11567.0,251000.0,36.0,-6.245,4.0,Blue,O,1,7,3,-1.413438359291186,0.0030581352618560716
12675.0,0.153,83.0,-5.62,4.0,Blue,O,1,7,3,-0.7290025025698048,0.355699390058862
5752.0,245000.0,97.0,-6.63,4.0,Blue,O,1,7,3,-1.202963023834035,-0.36437530331890755
8927.0,239000.0,35.0,-7.34,4.0,Blue,O,1,7,3,-1.316653075429369,-0.13822831697460636
7282.0,131000.0,24.0,-7.22,4.0,Blue,O,1,7,3,-0.9135470471786901,-0.07509540136089579
19923.0,152000.0,73.0,-5.69,4.0,Blue,O,1,7,3,-1.4905025724133618,0.5582764765110231
26373.0,198000.0,39.0,-5.83,4.0,Blue,O,1,7,3,-1.8923667824103707,0.8764154068303762
17383.0,342900.0,30.0,-6.09,4.0,Blue,O,1,7,3,-1.9271165171929083,0.20579390325958136
9373.0,424520.0,24.0,-5.99,4.0,Blue,O,1,7,3,-1.8035524030552497,-0.32722623296906966
3570.0,320000.0,1480.0,-7.58,5.0,Red,M,3,6,5,-1.7012909358992345,-2.4688247363930316
3500.0,138000.0,1420.0,-8.18,5.0,Red,M,3,6,5,-1.151919620644558,-2.1895468443174098
4287.0,630000.0,1315.0,-9.2,5.0,Red,K,3,5,5,-2.5795545034069622,-2.4855948973961515
26000.0,316000.0,1679.0,-9.1,5.0,Blue,B,1,2,4,-3.449094777555148,0.275827101942868
3600.0,240000.0,1190.0,-7.89,5.0,Red,M,3,6,5,-1.2742931278954526,-2.1046714996887497
3614.0,145000.0,1553.0,10.149999999999999,5.0,Red,M,3,6,5,-0.3434888404166935,-2.0633178841834208
18000.0,200000.0,1045.0,-8.3,5.0,Blue,O,1,7,3,-2.3813202190773968,-0.5240578303739424
11000.0,170000.0,1779.0,-9.9,5.0,Blue-White,B,2,2,5,-2.1482901111893864,-0.8694868159953221
12100.0,120000.0,708.9,-7.84,5.0,Blue-White,B,2,2,1,-1.1723096676371694,0.2522501468091068
24490.0,248490.0,1134.5,-8.24,5.0,Blue-White,B,2,2,4,-2.4233303355887985,0.36479687057733307
2831.0,0.000231,0.0915,16.21,0.0,Red,M,3,6,2,1.5458930175352745,-0.42815621749319266
2914.0,0.000631,0.116,18.39,0.0,Red,M,3,6,2,1.6528317952672336,-0.3939991822265813
3419.0,0.000245,0.126,17.56,0.0,Red,M,3,6,2,1.5884315037636298,-0.3779757379063156
3218.0,0.000452,0.0987,17.34,0.0,Red,M,3,6,2,1.5861546855605977,-0.391826838495224
3453.0,0.000621,0.0773,17.08,0.0,Red,M,3,6,2,1.562610630443778,-0.38262772936973444
2889.0,0.000352,0.0973,16.93,0.0,Red,M,3,6,2,1.5798646107996017,-0.41521726623523825
2968.0,0.000461,0.119,17.45,0.0,Red,M,3,6,2,1.6027499095605575,-0.4038795371868377
3484.0,0.000551,0.0998,16.67,0.0,Red,M,3,6,2,1.5404225854929754,-0.3865533478972564
2778.0,0.000849,0.112,19.45,0.0,Red,M,3,6,2,1.7126207302201975,-0.38692238265739487
3523.0,0.000957,0.129,16.35,0.0,Red,M,3,6,2,1.5224435849502267,-0.3888264121721436
3462.0,0.0053,0.148,11.47,1.0, ,M,0,6,2,0.30514162982990284,0.807308324305626
3257.0,0.0024,0.46,10.73,1.0,Red,M,3,6,2,1.2487675714868938,-0.48005576846001985
2994.0,0.0072,0.28,13.45,1.0,Red,M,3,6,2,1.3985180147774428,-0.45708865441719676
3212.0,0.0016,0.378,12.854,1.0,Red,M,3,6,2,1.3585882385225265,-0.453493393317064
3523.0,0.0054,0.319,12.43,1.0,Red,M,3,6,2,1.3233970467374143,-0.4423797297906058
3598.0,0.0027,0.67,13.667,1.0,Red,M,3,6,2,1.3826029099450554,-0.42179285344544953
3142.0,0.00132,0.258,14.12,1.0,Red,M,3,6,2,1.426002437930715,-0.43993379044038433
3496.0,0.00125,0.336,14.94,1.0,Red,M,3,6,2,1.4519386003114083,-0.40967626072314645
3324.0,0.0065,0.471,12.78,1.0,Red,M,3,6,2,1.349825426149829,-0.44852287388061346
3463.0,0.0027,0.675,14.776,1.0,Red,M,3,6,2,1.4448275924238754,-0.41400280911386017
16790.0,0.0014,0.0121,12.87,2.0,Blue,B,1,2,1,0.21158864534371066,2.00825975964027
15680.0,0.00122,0.0114,11.92,2.0,Blue,B,1,2,1,0.21234959508810533,1.935240382010304
14982.0,0.00118,0.0113,12.23,2.0,Blue,B,1,2,1,0.2588706358294534,1.9016798827948858
13340.0,0.00109,0.0116,12.9,2.0,Blue,B,1,2,1,0.36530127173659493,1.8219235723104117
18340.0,0.00134,0.0124,11.22,2.0,Blue,B,1,2,1,0.059488677005003286,2.069690342774223
19920.0,0.00156,0.0142,11.34,2.0,Blue,B,1,2,1,-0.004122176219997864,2.156846707595067
24020.0,0.00159,0.0127,10.55,2.0,Blue,B,1,2,1,-0.2250708624090855,2.3680191527547256
23092.0,0.00132,0.0104,10.18,2.0,Blue,B,1,2,1,-0.2029068874729507,2.312750954985339
17920.0,0.00111,0.0106,11.66,2.0,Blue,B,1,2,1,0.10034399942251955,2.0529495516206757
19360.0,0.00125,0.8300000000000001,11.62,2.0,Blue,B,1,2,1,0.03419928399682028,2.129608624150672
22350.0,12450.0,6.36,-3.67,3.0,Blue-White,B,2,2,1,-0.5899093579585574,1.6400574152557734
10012.0,552.0,5.856,0.013,3.0,Blue-White,A,2,1,1,0.2012550771362669,1.2588861541417662
13089.0,788.0,5.992,-0.12,3.0,Blue-White,A,2,1,1,0.05798062735261773,1.4231996936748788
22012.0,6748.0,6.64,-2.55,3.0,Blue-White,B,2,2,1,-0.5016602787706443,1.6441821130393999
34190.0,198200.0,6.39,-4.57,3.0,Blue,O,1,7,3,-2.1502795656818514,1.3459709110924616
32460.0,173800.0,6.237,-4.36,3.0,Blue,O,1,7,3,-1.991691914056425,1.2870865420181465
9320.0,29.0,1.91,1.236,3.0,Blue-White,A,2,1,1,0.29822371954393573,1.2423374504039637
19400.0,10920.0,6.03,-3.08,3.0,Blue-White,B,2,2,1,-0.4251157422952233,1.4907015718932997
17140.0,883.0,5.653,-2.64,3.0,Blue-White,B,2,2,1,-0.2734072077504775,1.3877679292418075
8250.0,9.25,1.93,-0.98,3.0,Yellow-White,F,5,3,0,1.1558163285204077,-0.5528083977628423
23678.0,244290.0,35.0,-6.27,4.0,Blue,O,1,7,3,-1.9285731466972231,0.6679141784797298
12749.0,332520.0,0.8300000000000001,-7.02,4.0,Blue,O,1,7,3,-1.7183841353747071,-0.017777481769218322
9383.0,342940.0,98.0,-6.98,4.0,Blue,O,1,7,3,-1.6686390101659474,-0.3009894965429023
23440.0,537430.0,81.0,-5.975,4.0,Blue,O,1,7,3,-2.7954174430793506,0.23582233266089636
16787.0,246730.0,62.0,-6.35,4.0,Blue,O,1,7,3,-1.6553151893384659,0.26619490903708687
18734.0,224780.0,46.0,-7.45,4.0,Blue,O,1,7,3,-1.7211293638361043,0.39966548291177706
9892.0,593900.0,80.0,-7.262,4.0,Blue,O,1,7,3,-2.4278449799334445,-0.5876431483346772
10930.0,783930.0,25.0,-6.224,4.0,Blue,O,1,7,3,-2.9381052344721845,-0.7148704421714955
23095.0,347820.0,86.0,-5.905,4.0,Blue,O,1,7,3,-2.2245970165773628,0.4603816428546402
21738.0,748890.0,92.0,-7.346,4.0,Blue,O,1,7,3,-3.4175512178285756,-0.16018630532910422
24145.0,382993.0,1494.0,-8.84,5.0,Blue-White,B,2,2,4,-3.0925654503698268,-0.16268137165691277
38234.0,272830.0,1356.0,-9.29,5.0,Blue, ,1,0,4,-3.5888795894744603,1.7252996059973025
32489.0,648430.0,1948.5,-10.84,5.0,Blue,O,1,7,4,-5.116542612548811,-1.1762663147499126
27739.0,849420.0,1252.0,-7.59,5.0,Blue-White,B,2,2,4,-4.379659099755584,-0.3391007304080349
21904.0,748490.0,1130.0,-7.67,5.0,Blue-White,B,2,2,4,-3.742358206516857,-0.4141755661158074
38940.0,374830.0,1356.0,-9.93,5.0,Blue,O,1,7,4,-4.124891660383954,0.07800259362677645
30839.0,834042.0,1194.0,-10.63,5.0,Blue,O,1,7,4,-5.031708941486336,-0.8210650447825666
8829.0,537493.0,1423.0,-10.73,5.0,White,A,4,1,5,-2.2412660903630037,-1.7776334472167765
9235.0,404940.0,1112.0,-11.23,5.0,White,A,4,1,5,-1.6713076995282503,-1.3082915634043626
37882.0,294903.0,1783.0,-7.8,5.0,Blue,O,1,7,4,-4.04453598054099,-0.2329041837438494
